game,tag1,score1,tag2,score2,tag3,score3,tag4,score4
1,img,54.3,form,39.4,h6,2.9,area,3.3
2,legend,15.3,nav,41,meta,33.8,cite,9.9
3,style,35.9,blockquote,21.8,head,35.3,dialog,7
4,main,22.4,li,27.8,h2,8.2,input,41.5
5,section,23.1,div,46.5,h1,17.7,fieldset,12.6
6,th,9.3,option,23.9,h5,3.5,p,63.3
7,marquee,38,dl,11.7,noscript,10.6,script,39.8
8,details,15.4,a,61.8,hgroup,2.5,body,20.3
9,label,21,button,62.4,tbody,3.8,br,12.9
10,html,51.7,abbr,9.6,picture,16.2,code,22.6
11,ul,45.3,table,31.3,b,14.1,menu,9.3
12,title,33.7,em,13.3,span,35.3,aside,17.7
13,time,15.8,header,36.3,select,43.2,address,4.7
14,audio,12.3,canvas,48.1,footer,22.3,strong,17.2
